block_group,25cm,50cm,75cm,100cm,125cm,150cm,175cm,200cm
10030101001,0,0.03951242,0.205909732,0.453816444,0.637263173,0.700081252,0.726388446,0.772940558
10030101002,0.001124663,0.338118351,0.709753145,0.82801095,0.856542235,0.873895253,0.871312522,0.881562123
10030103002,0.000199138,0.012313843,0.042515031,0.081138149,0.076703103,0.110732778,0.182236164,0.280808024
10030103003,0.00025798,0.258375824,0.441978667,0.469757712,0.45272651,0.477559789,0.467538772,0.51748305
10030107011,0,9.15E-05,0.001024573,0.014967851,0.060366833,0.071557174,0.077344136,0.093323899
10030107013,0,0.008873788,0.024393026,0.024393026,0.017611989,0.039163599,0.119445826,0.249788571
10030107014,6.23E-05,0.004983203,0.024993938,0.041715184,0.069558299,0.082052792,0.084874409,0.087093321
10030107032,0,0,0.008468384,0.018547652,0.056833461,0.113011037,0.194250916,0.262066225
10030107041,0,0,0,0.014139376,0.103369643,0.205355955,0.330153127,0.365228883
10030107051,0,0.003546203,0.025785555,0.07469283,0.100057784,0.118870849,0.149268957,0.149268957
10030107052,0,0,0,0,0.017078015,0.100086271,0.223081907,0.363664408
10030108002,0,0.000878035,0.014178601,0.068434582,0.151894616,0.165194307,0.189309306,0.220639527
10030109042,0.005315646,0.066002556,0.110914745,0.166687619,0.211081132,0.26842911,0.33059548,0.420966818
10030109051,0,0,0,0,0.040478304,0.096480045,0.123565215,0.200922274
10030110001,0,0.000863911,0.01518037,0.050114662,0.195147469,0.374113409,0.529503565,0.663592328
10030111021,0.000349101,0.008304263,0.051419394,0.116120769,0.16030334,0.224301905,0.354074765,0.477306608
10030111022,0,0,0,0.013112926,0.118678448,0.177661833,0.271407238,0.383035207
10030112011,0,0,0,0.014454545,0.078425427,0.078425427,0.086522285,0.114143788
10030112012,0,0,0,0,0,0,0,0
10030112022,0,0,0,0.005269485,0.076864571,0.138596951,0.197453221,0.239748958
10030113001,0,0,0.007126299,0.044069396,0.170174238,0.252244218,0.326693537,0.423060169
10030113002,0.000583842,0.028081529,0.085098254,0.14957047,0.252402708,0.347252008,0.395128442,0.453922674
10030113003,5.46E-05,0.007808364,0.017659205,0.023095532,0.039481146,0.090857336,0.177073187,0.344498146
10030113004,0.000556671,0.018946422,0.073782932,0.254718048,0.533764387,0.620875254,0.61897259,0.651814474
10030114012,0,0.001676465,0.009721923,0.0349649,0.089780282,0.139119096,0.22162183,0.346455714
10030114013,0.001575089,0.014297317,0.040886362,0.072157555,0.18161993,0.248169549,0.306113743,0.428617709
10030114014,0.002739684,0.043742753,0.095672165,0.124623745,0.159062688,0.220704166,0.241810818,0.298735975
10030114015,5.20E-05,0.006333792,0.024697526,0.058737637,0.125194114,0.187353089,0.350616285,0.518611782
10030114031,0.003324861,0.03178196,0.110604838,0.207321786,0.334713383,0.441575252,0.484443046,0.549152742
10030114032,0.001156893,0.01667483,0.054598149,0.099105207,0.085572202,0.111921812,0.087063467,0.118649968
10030114033,0.001781807,0.014953242,0.060822361,0.103902696,0.170228646,0.252694441,0.312214346,0.376896574
10030114051,0,0,0.000923728,0.024237278,0.105992285,0.170791366,0.208525325,0.273513281
10030114052,0,0,0,0.011297301,0.089560718,0.173368414,0.269272948,0.343997183
10030114061,0,0.015966272,0.051411835,0.057373325,0.068384191,0.149951167,0.265926682,0.342346089
10030114062,0,0,0.000812784,0.013616538,0.118532335,0.185265286,0.182429011,0.194760768
10030114063,8.96E-05,0.001761982,0.011853289,0.041896035,0.108385696,0.167876576,0.224880399,0.323712271
10030114071,0.000363442,0.003755706,0.007477358,0.024610058,0.061240432,0.119026864,0.165494624,0.216360911
10030114072,1.24E-05,0.000286608,0.005854996,0.058640095,0.207627997,0.314604246,0.377990142,0.422726059
10030114073,7.92E-05,0.000895901,0.001598331,0.020253936,0.200454831,0.46890897,0.608079197,0.698570267
10030114081,7.79E-05,0.001326317,0.009937153,0.05339338,0.165883868,0.243142473,0.266079681,0.315928963
10030115024,0.000279769,0.008926578,0.030541872,0.041648549,0.104473717,0.176975077,0.279462616,0.389338301
10030116011,0,0.010342787,0.179704611,0.269224916,0.223247585,0.250871665,0.199887149,0.207501078
10030116012,0,0.00142462,0.014913045,0.043161411,0.07180042,0.104902679,0.130193614,0.196744839
10030116013,0.00657688,0.042903383,0.082298435,0.119237953,0.188926137,0.251723302,0.31441789,0.400526441
10030116014,0.005265818,0.067070756,0.129879481,0.204617218,0.313380231,0.401345022,0.452001898,0.51564416
10030116021,0,0.01832031,0.15687272,0.258193849,0.328345331,0.34743875,0.352831901,0.393577779
10030116022,0.00563967,0.060284316,0.165895143,0.288513801,0.385009354,0.422496514,0.45951434,0.521658021
10030116023,0.004511566,0.058057227,0.127738472,0.212681478,0.266295074,0.315749493,0.36830619,0.443344906
10030116024,0.001660646,0.009927665,0.076442735,0.151700294,0.214624044,0.297324223,0.339658284,0.386364339
10970002001,0,0,0,0,0.003367003,0.013468013,0.027272727,0.078787879
10970004011,0,0,0,0,0.003439552,0.024683615,0.105687128,0.349436452
10970004012,0,0,0,0,0,0,0,0.011363636
10970004021,0,0,0,5.32E-18,0.000267461,0.004568358,0.094861059,0.440531417
10970005001,0,0,0,1.24E-05,0.036163312,0.167293553,0.373320085,0.511838353
10970006001,0,0,0,0,0,0.045523573,0.240142887,0.422851522
10970006002,0,0,0,0,0,0.035270748,0.172833778,0.265066674
10970008001,0,0,0,0,0,0,0.010479693,0.209678944
10970009011,0,0,0,0,0,0.003952569,0.03569664,0.05298913
10970011002,0,0,0,0,0,0,0,0.029780564
10970011003,0,0,0,0,0,0,0,0.006493506
10970012001,0,0.020338725,0.181910278,0.301432144,0.373045799,0.423644592,0.502876603,0.602203119
10970012002,0,0,0,0,0,0,0,0.007272727
10970018001,0,0.00479053,0.021834647,0.03561876,0.068445204,0.127366251,0.209808953,0.4224229
10970018002,0,0,0.001653032,0.005399676,0.009212297,0.013238806,0.020354291,0.080127366
10970019011,0,0,0,0,0,0,0,0.022842988
10970019012,0,0.000563899,0.01125408,0.032659643,0.055433232,0.086956995,0.134919572,0.293818371
10970019021,0,0,0.001866542,0.01262772,0.021026396,0.027983825,0.033411727,0.072946164
10970019022,0,0,0.000286335,0.004848788,0.019188696,0.038273292,0.071670364,0.148391172
10970019023,0,0.002306108,0.016915849,0.0357473,0.047264942,0.060091795,0.089390903,0.178289511
10970020001,0,0,0.001803209,0.020636395,0.094835666,0.143464891,0.176491068,0.270430999
10970020002,0,0.001821065,0.014369845,0.020909091,0.037215836,0.057664839,0.092739062,0.215464273
10970021002,0,0,0,0,0,0,0,0.027986502
10970022002,0,0,0,0,0,0.001424115,0.025544305,0.160193858
10970022003,0,0,0,0,0,0,0,0.006163108
10970023013,0,0,0,0,0.001027734,0.017650763,0.042887063,0.060173392
10970025021,0,0,0,0,0,0.012020539,0.109215647,0.201008826
10970025023,0,0,0,0,0,0,0,0.163149351
10970030001,0,0,0,0,0,0.005123697,0.059700604,0.134113476
10970030002,0,0,0,0,0,0,0.00062188,0.01120961
10970037093,0,0,0,0,0,0.000287796,0.012891112,0.092177015
10970038001,1.12E-07,0.007303006,0.027460467,0.047360941,0.074113294,0.097214567,0.148433756,0.269449681
10970050001,0,0,0,0,0.001728629,0.010970472,0.025674771,0.049779251
10970050002,0,0,0,0,0.003588949,0.010116079,0.026431614,0.048669609
10970053001,0,0.000187294,0.00285468,0.013426217,0.041667171,0.069511678,0.137974776,0.248215647
10970054001,0,0,0,0,0,0,0,0.003987393
10970054002,0,0.001884213,0.011807482,0.019617455,0.028459662,0.054075563,0.109632957,0.246556461
10970055001,0,0.001967041,0.015455322,0.02645892,0.035628584,0.035855361,0.040568371,0.20195447
10970055002,0,0,0,0,0.001420633,0.014241028,0.036187375,0.059197047
10970056001,0,3.64E-05,0.000281285,0.000662897,0.005534961,0.017063668,0.030107412,0.060286438
10970056002,0,0.000187108,0.004506113,0.004907033,0.005241978,0.007731289,0.024934668,0.13964019
10970056003,0,0,0,0,0,0.00330775,0.014865177,0.033070077
10970057002,0,0,0,0,0,9.05E-05,0.002946986,0.022686421
10970057003,1.03E-09,0.083082026,0.17764386,0.227832607,0.278350833,0.32458352,0.318314903,0.342566806
10970058001,1.10E-07,0.075520024,0.15669214,0.20911568,0.218046608,0.230890089,0.233332629,0.266434475
10970058002,0,0,0,0,0,0,0.007763138,0.09873924
10970058003,0,0.077204167,0.227456461,0.318365579,0.33682009,0.355953965,0.357721315,0.38086307
10970061051,0,0.004858396,0.03804214,0.052914737,0.098511098,0.130143672,0.137524635,0.181576914
10970065023,0,0,0,0,0,0,0,0.005419452
10970066001,0,0,0,0,0,0,0,0.001907934
10970066004,0,0.024895569,0.155927388,0.337469805,0.400125389,0.407913631,0.394047618,0.403146645
10970068021,0,0,0,0,0,0.009443287,0.090429124,0.144660555
10970068022,0,0,0,0,0,0.001327978,0.010185725,0.034587287
10970070001,0,0.001765373,0.023895588,0.056899135,0.08979619,0.112954746,0.178345903,0.345216612
10970070002,0,0.000359062,0.003674127,0.010299028,0.023509279,0.044684951,0.087103911,0.209117446
10970070003,0,0.001513393,0.005037116,0.015327072,0.030209034,0.048053879,0.094976472,0.208306673
10970071021,0,0,8.85E-05,0.006611952,0.033239714,0.04847976,0.041652781,0.046217042
10970071031,0,0.002349097,0.0216324,0.046630258,0.075311243,0.1009215,0.128092317,0.181082845
10970071032,0,0.010002179,0.030129796,0.046180635,0.055454023,0.07082008,0.068560669,0.083544536
10970072011,0,0.00450873,0.02698445,0.061801404,0.091921651,0.115495958,0.15451077,0.196146211
10970072021,0,0.006557586,0.085392845,0.243284646,0.43244099,0.523475127,0.61249916,0.685835382
10970072022,0,0.005683018,0.075705128,0.234285601,0.325009513,0.369738239,0.417550593,0.463327465
10970072023,0,0.078847713,0.293912146,0.404165265,0.457569491,0.490929103,0.516833739,0.531135068
10970073001,0,0.0009079,0.015203937,0.073887994,0.184700528,0.246109064,0.307556425,0.370865517
10970073002,0,0.044448292,0.159743894,0.359933266,0.552452119,0.598854618,0.653650538,0.728147715
10970073003,0,0.002354301,0.01967596,0.054619334,0.103474303,0.124170368,0.148881232,0.18976017
10970073004,0,0.03084781,0.109249132,0.287421657,0.514856763,0.584655573,0.642840083,0.700912757
10970074001,0,0.009080698,0.041040959,0.071138684,0.087511145,0.1043586,0.090180177,0.108727157
10970074002,0,0,0,0,0,0,0,0.007581829
10970074003,0,0.000310695,0.007747798,0.021105124,0.044794734,0.066245665,0.103898352,0.181119021
10970074004,0,0.002011487,0.012411931,0.018125225,0.025456704,0.035871707,0.073205862,0.123817559
60014015003,0,0,0,0,0,0.022727273,0.193181818,0.477272727
60014016001,0,0,0,0,0.098714417,0.333333333,0.561983471,0.657369146
60014016002,0,0,0,0.004545455,0.18538961,0.435930736,0.621590909,0.697727273
60014017001,0,0,0.009358289,0.129485078,0.488442298,0.634983612,0.736631016,0.804812834
60014017002,0,0,0,0.019230769,0.258741259,0.536130536,0.821678322,0.952797203
60014017003,0,0,0,0.159090909,0.5,0.5,0.5,0.5
60014018001,0,0,0,0,0.003787879,0.049242424,0.170454545,0.414772727
60014018002,0,0,0,0,0,0,0,0.045454545
60014022001,0,0,0,0,0.020562771,0.149350649,0.381493506,0.418831169
60014022002,0,0,0,0,0,0,0,0.037878788
60014022003,0,0,0,0.006818182,0.195454545,0.496969697,0.843181818,0.952272727
60014024001,0,0,0,0,0.007575758,0.0995671,0.291396104,0.400162338
60014033001,0,0,0,0,0,0.028761078,0.309813495,0.664281049
60014034001,0,0,0,0.000484167,0.017637923,0.036039901,0.045943452,0.048132559
60014053012,0,0,0,0,0.090909091,0.484848485,1,1
60014053021,0,0,0,0,0.090909091,0.353535354,0.666666667,0.666666667
60014060001,0,0,0.017980245,0.103902705,0.205492874,0.336416671,0.446174952,0.529132598
60014060002,0,0,0,0,0,0,0,0.04336073
60014060003,0,0,0,0,0.063645468,0.216354563,0.39892499,0.39892499
60014061002,0,0,0,0,0.039046357,0.09917802,0.100001555,0.242657372
60014061003,0,0,0,0,0,0.012787694,0.127927835,0.239241845
60014073001,0,0,0,0,0.240592569,0.620133221,0.732968786,0.794827979
60014073002,0,0,0.014916264,0.035109682,0.247987746,0.564086613,0.637331183,0.66282494
60014088001,0,0,0,0,0,0.015151515,0.128787879,0.231060606
